"userid","userlocation","statusid","statustime","tweet"
"91497792","Utah","856567186726551553","2017-04-24 17:55:06","Instagress seeks revenge. #instagram servers down. Automation suspected. #fakenews @realDonaldTrump war on automation"
"1465286323","Salt Lake City, UT","856567180745261057","2017-04-24 17:55:04","@BBCWorld POTUS LIED HEN HE TOUTED SPACE SCIENCE YESTERDAY - HIS BUDGET AXING OF WORLD SCIENCE, MEDICAL, CANCER, PHARM IS HIS REAL ATTITUDE"
"305877707","Salt Lake City, UT","856566812992880641","2017-04-24 17:53:37","@maga_silverback Impressive resume! I guess Trump graduated before you from Wharton.  Thanks for follow"
"142418890","Utah","856566033141948417","2017-04-24 17:50:31","You deserve a Blodorn, or #BloodEagle @realDonaldTrump"
"843879457991544833","Salt Lake City, UT","856611859750764544","2017-04-24 20:52:37","@SenSchumer @senorrinhatch @SenJohnMcCain @SenFeinstein @SenMikeLee @SenateDems This govnt is RIDICULOUS-@POTUS not looking on USA best ints"
"350944073","Utah","856605988564090880","2017-04-24 20:29:17","This goes w/ anywhere anyone stays,it not to benefit the Trump entps., while in office.what is wrong w/Congress?"
"3230097594","Utah","856604672802648064","2017-04-24 20:24:03","@JingshiW Donald duck head ass"
"1013986122","utah","856603750034685952","2017-04-24 20:20:23","A wall will do absolutely nothing to stop the flow of drugs into the US. They will go by sea to Canada or Miami. Trump knows this."
"15359512","Salt Lake City","856602885840289795","2017-04-24 20:16:57","@realDonaldTrump * Unless you are old or sick."
"781930768100528129","Utah, USA","856600119059243012","2017-04-24 20:05:57","@CNNPolitics Ohhh, so hand-picking a huge group of six (6) voters is all you need to spread opinionistic shots at Trump?  Unreal #fakenews!"
"780574976659197953","Utah, USA","856599606842580992","2017-04-24 20:03:55","@realDonaldTrump What does this even mean?"
"93714886","Salt Lake City, UT","856597485694763008","2017-04-24 19:55:30","@Independent #crybaby and Chief @realDonaldTrump"
"179607750","Tooele, Utah","856597468057698304","2017-04-24 19:55:25","@realDonaldTrump Mr. President:100 days is a media hype record! Ignore it, just keep up the hard work!Now the GOP Congress shd do their job!"
"1118093179","Utah, USA","856596987499630592","2017-04-24 19:53:31","@Scavino45 @DG_TGA @realDonaldTrump @POTUS @jdgreenblatt45 @NStrom45 And also that nice young lady on the right.."
"849203306807382017","Salt Lake City","856596066921271298","2017-04-24 19:49:51","what if donald trump has secretly been banksy the entire time"
"815626367391789056","Northern Utah","856594477565173765","2017-04-24 19:43:32","@DenActivist @BreitbartNews This comment is silly beyond belief!  Trump  is a Capitalist; Bernie is a hypoctitcal Marxist!"
"68526129","School of Medicine U of U Salt Lake City, UT","856592004477734912","2017-04-24 19:33:43","@RogueSNRadvisor I care what he thnks @realDonaldTrump. What I dont care about is the insane drivel constantly flowing out of your mouth."
"18235949","Utah, USA","856591188157112320","2017-04-24 19:30:28","@thehill Has Trump ever been to a national park or monument?"
